country;contract_name;name;company;bonus;banking;status;bike_stands;count
Australia;Brisbane;123 - CHARLOTTE ST / ALBERT ST;CityCycle;False;False;OPEN;19;2827
Belgium;Bruxelles-Capitale;278 - STADE / STADIUM;villo;False;True;OPEN;25;2826
Belgium;Bruxelles-Capitale;128 - MUSEE DU TRAM;villo;False;False;OPEN;25;2826
IRELAND;Dublin;FOWNES STREET UPPER;dublinbikes;False;False;OPEN;30;2823
Sweden;Goteborg;NILS-ERICSSON TERMINALEN;Göteborg;False;True;OPEN;35;2823
France;Lyon;10054 - STALINGRAD / MELIÈS;Vélo'V;False;True;OPEN;24;2823
France;Marseille;7153-CORSE ST MAURICE;Le vélo;False;True;OPEN;10;2823
France;Paris;09002 - MAUBEUGE CONDORCET;Velib;False;True;OPEN;15;2820
France;Paris;21021 - PARADIS (BOULOGNE-BILLANCOURT);Velib;False;True;OPEN;40;2820
France;Paris;13016 - PRIMO LEVI;Velib;False;True;OPEN;62;2820
France;Paris;16121 - SABLONS MAILLOT;Velib;False;True;OPEN;33;2820
France;Paris;08027 - MAIRIE DU 8 ÈME;Velib;False;True;OPEN;14;2820
Spain;Seville;086_CAMINO DE LOS DESCUBRIMIENTOS;SEVICI;False;True;OPEN;40;2818
France;Toulouse;00120 - PONTS JUMEAUX;Vélô;False;True;OPEN;18;2818
France;Toulouse;00253 - ETATS-UNIS / ROBERT;Vélô;False;True;OPEN;20;2818
France;Toulouse;00026 - DALBADE - DE GORSSE;Vélô;False;True;OPEN;22;2818
Spain;Valence;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;Valenbisi;False;False;OPEN;15;2818
France;Marseille;7215-ENDOUME - CORDERIE;Le vélo;False;True;CLOSED;13;1
Australia;Brisbane;110 - JANE ST / MONTAGUE RD;CityCycle;False;False;OPEN;21;2827
Australia;Brisbane;102 - BESANT ST / VULTURE ST;CityCycle;False;False;OPEN;31;2827
Belgium;Bruxelles-Capitale;210 - MARIUS RENARD;villo;False;False;OPEN;25;2826
France;Lyon;7014 - MARSEILLE / FÉLISSENT;Vélo'V;False;True;OPEN;15;2823
France;Lyon;8030 - LAËNNEC;Vélo'V;False;True;OPEN;16;2823
France;Marseille;1224-PLAINE - BIBLIOTHEQUE;Le vélo;False;True;OPEN;16;2823
France;Nancy;00014 - FAC DE LETTRES (CB);vélOstan'lib;False;True;OPEN;19;2823
France;Nantes;00003-STRASBOURG;Bicloo;False;False;OPEN;15;2823
France;Paris;17005 - BROCHANT;Velib;False;True;OPEN;35;2820
France;Paris;21303 - ILES (ISSY LES MOULINEAUX);Velib;False;True;OPEN;31;2820
France;Paris;14030 - LOSSERAND - PERNETY;Velib;True;True;OPEN;33;2820
France;Paris;42208 - PARIS 4 (CHARENTON);Velib;False;True;OPEN;23;2820
France;Paris;16037 - MOLITOR - MICHEL ANGE;Velib;False;True;OPEN;52;2820
Spain;Seville;244_AVENIDA LOS GAVILANES;SEVICI;False;True;OPEN;15;2818
Spain;Seville;112_AVDA ESPERANZA DE TRIANA;SEVICI;False;True;OPEN;20;2818
France;Toulouse;00075 - CHATEAU D EAU;Vélô;False;True;OPEN;21;2818
Spain;Valence;123_C_ALBOCACER;Valenbisi;False;False;OPEN;20;2818
France;Paris;14003 - RASPAIL SCHOELCHER;Velib;False;True;OPEN;47;2770
Australia;Brisbane;135 - PARK RD / RAILWAY TCE;CityCycle;False;False;OPEN;19;2827
Belgium;Bruxelles-Capitale;313 - DEMEY;villo;False;False;OPEN;25;2826
Sweden;Goteborg;KRISTINELUNDSGATAN;Göteborg;False;True;OPEN;25;2823
Sweden;Goteborg;VASAGATAN/SCHILLERSKA;Göteborg;False;True;OPEN;25;2823
Sweden;Lund;IDEON SÖDER;Lundahoj;False;True;OPEN;21;2823
France;Marseille;1210-BEAUVAU - CANEBIERE;Le vélo;False;True;OPEN;15;2823
France;Marseille;9260- MAZARGUES - ALMERAS;Le vélo;False;True;OPEN;13;2823
France;Marseille;1213-GRIGNAN - MARCELLE PAUL;Le vélo;False;True;OPEN;10;2823
France;Paris;22011 - MONTROSIER (NEUILLY);Velib;False;True;OPEN;25;2820
France;Paris;18105 - BELIARD POISSONNIERS;Velib;False;True;OPEN;32;2820
Spain;Seville;173_RONDA TAMARGUILLO;SEVICI;False;True;OPEN;20;2818
Spain;Seville;011_ALBERTO JIMÉNEZ BECERRIL;SEVICI;False;True;OPEN;20;2818
Spain;Seville;247_AVDA. RAMON Y CAJAL;SEVICI;False;True;OPEN;30;2818
Spain;Seville;001_GLORIETA OLIMPICA;SEVICI;False;True;OPEN;20;2818
France;Toulouse;00015 - PONT MONTAUDRAN;Vélô;False;True;OPEN;20;2818
France;Toulouse;00114 - BD MONTPLAISIR - CANAL;Vélô;False;True;OPEN;20;2818
Spain;Valence;114_ADOLFO SUAREZ;Valenbisi;False;False;OPEN;30;2818
Spain;Valence;219_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_VELAZQUEZ;Valenbisi;False;False;OPEN;18;2818
Spain;Valence;51_PSO. DE LAS MORERAS;Valenbisi;False;True;OPEN;20;2818
Australia;Brisbane;80 - BARKER ST / BRUNSWICK ST;CityCycle;False;False;OPEN;21;2827
France;Lyon;6042 - CITÉ INTERNATIONALE - RÉSIDENCE HÔTELIÈRE;Vélo'V;False;True;OPEN;28;2823
France;Paris;14031 - DIDOT CHATEAU;Velib;True;True;OPEN;22;2820
France;Paris;15027 - GIDE;Velib;True;True;OPEN;20;2820
France;Paris;14003 - RASPAIL SCHOELCHER;Velib;False;True;CLOSED;47;50
France;Paris;16011 - VICTOR HUGO RUE DE LA POMPE;Velib;False;True;OPEN;39;2820
France;Paris;14021 - PLACE DE LA PORTE DE CHATILLON;Velib;False;True;OPEN;59;2820
