country;contract_name;name;company;count
Sweden;Lund;UNIVERSITETSSJUKHUSET;Lundahoj;2823
France;Marseille;7138-CORNICHE  ENDOUME;Le vélo;2823
France;Nancy;00006 - LES 2 RIVES (CB);vélOstan'lib;2823
France;Nantes;00078-DE GAULLE;Bicloo;2823
France;Paris;10015 - RECOLLETS;Velib;2820
France;Paris;16010 - BELLES FEUILLES;Velib;2820
France;Paris;21207 - VERDIER (MONTROUGE);Velib;2820
France;Paris;13109 - BRILLAT SAVARIN;Velib;2820
France;Paris;04006 - BASSIN DE L'ARSENAL;Velib;2820
France;Paris;13039 - IVRY POINTE D'IVRY;Velib;2820
France;Paris;22405 - NORD (MALAKOFF);Velib;2820
France;Paris;16011 - VICTOR HUGO RUE DE LA POMPE;Velib;2820
France;Paris;19015 - THIONVILLE;Velib;2820
Spain;Seville;117_AVDA ESPERANZA DE TRIANA;SEVICI;2818
Spain;Seville;083_AVENIDA LA BUHAIRA;SEVICI;2818
Spain;Seville;137_AVENIDA DE LA BORBOLLA;SEVICI;2818
Spain;Valence;257_PLAZA_SALVADOR_SORIA_ESQ_PIO_X;Valenbisi;2818
France;Amiens;13- GARE JULES BARNI;Velam;2828
Belgium;Bruxelles-Capitale;136 - PAVILLON/PAVILJOEN;villo;2826
Belgium;Bruxelles-Capitale;125 - GEORGES BRUGMANN;villo;2826
Belgium;Namur;003 - GARE DU NORD;Li bia velo;2823
France;Nantes;00095-MICHELET;Bicloo;2823
France;Paris;21101 - VALITON (CLICHY);Velib;2820
France;Paris;20023 - PELLEPORT BELGRAND;Velib;2820
France;Paris;05009 - SQUARE VIVIANI;Velib;2820
France;Paris;17048 - TOCQUEVILLE;Velib;2820
France;Paris;20012 - BUZENVAL VIGNOLES;Velib;2820
France;Paris;28001 - WALLACE (PUTEAUX);Velib;2820
France;Paris;13017 - NATIONALE;Velib;2820
Spain;Seville;191_GLORIETA CARLOS CANO;SEVICI;2818
Spain;Seville;145_AVENIDA REINA MERCEDES;SEVICI;2818
Spain;Seville;112_AVDA ESPERANZA DE TRIANA;SEVICI;2818
France;Toulouse;00213 - PUJOL/ CHAUBET;Vélô;2818
Belgium;Bruxelles-Capitale;110 - RODIN (FERMÉE - SANS COURANT);villo;712
France;Besancon;01 - GARE VIOTTE (CB);VéloCité;2827
Belgium;Bruxelles-Capitale;137 - MAISON COMMUNALE DE SCHAERBEEK;villo;2826
Luxembourg;Luxembourg;FRIEDEN;Veloh;2823
France;Marseille;5104-CHAVE EUGÈNE PIERRE;Le vélo;2823
France;Nancy;00014 - FAC DE LETTRES (CB);vélOstan'lib;2823
France;Paris;15026 - BIR HAKEIM;Velib;2820
France;Paris;11037 - FAUBOURG DU TEMPLE PLACE DE LA REPUBLIQUE;Velib;2820
France;Paris;10161 - GARE DE L'EST;Velib;2820
Spain;Seville;056_PLAZA JERÓNIMO DE CORDOBA;SEVICI;2818
Spain;Seville;180_CALLE DOCTOR JAIME MARCOS;SEVICI;2818
France;Toulouse;00183 - RUE DE CUGNAUX;Vélô;2818
France;Toulouse;283 - PLACE MICOULEAU;Vélô;2818
Spain;Valence;237_LEVANTE_UD_AVDA_ECUADOR;Valenbisi;2818
Lithuania;Vilnius;1-ARKIKATEDRA;Cyclocity;2818
Lithuania;Vilnius;35-VILNIAUS VARTAI;Cyclocity;2818
Australia;Brisbane;87 - MERTHYR RD / REGINALD ST;CityCycle;2827
